,0,1,2,3,4
1,[1],"['ENGL& 230', 'MATH 261', 'ENGR& 215', 'HUM& 101', 'PHYS& 242', 'ENGR& 225', 'PHYS 130', 'PHYS& 243', 'ENGR& 224', 'ENGR 220']","[4, 1, 1, 1, 2, 2, 2, 3, 3, 3]",['Mechanical Engineering'],['Washington State University']
2,[2],"['ENGR 121', 'ENGR 201', 'ENGR& 224', 'ENGR& 114', 'ENGR 240', 'ENGR& 215', 'ENGR& 225', 'ENGR 216', 'ENGR 220', 'ENGR& 204', 'ENGR 240']","[4, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4]",['Mechanical Engineering'],['Washington State University']
3,[3],"['MATH& 151', 'CHEM& 161', 'ENGR 121', 'MATH& 152', 'CHEM& 162', 'ENGL& 230', 'MATH& 163', 'PHYS& 241', 'ENGR& 214', 'ENGR& 114', 'MATH& 264', 'PHYS& 242', 'PHYS 130', 'ENGR& 215', 'ENGR 240', 'MATH 260', 'PHYS& 243', 'ENGR& 225', 'ENGR 220', 'MATH 261']","[3, 3, 3, 4, 4, 4, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4]",['Mechanical Engineering'],['Washington State University']
4,[4],"['MATH 260', 'ENGR 121', 'ENGR 201', 'ENGR& 215', 'ENGR 240', 'ENGR& 204', 'ENGR& 225', 'ENGR& 224', 'ENGR 216']","[1, 1, 1, 2, 2, 2, 3, 3, 3]",['Mechanical Engineering'],['Washington State University']
5,[5],"['MATH 261', 'ENGR& 204', 'ENGR& 215', 'ENGR& 224', 'ENGR 201', 'ENGR 240', 'ENGR& 114', 'ENGR 220', 'ECON& 202', 'ENGR& 225', 'ENGR 216']","[4, 4, 1, 1, 1, 2, 2, 2, 2, 3, 3]",['Mechanical Engineering'],['Washington State University']
6,[6],"['ENGL& 102D', 'MATH& 141', 'CHEM& 121', 'MATH& 146', 'BIOL& 211', 'CHEM& 131', 'PSYC& 100', 'BIOL& 231', 'CMST& 210', 'BIOL& 232', 'PSYC& 200', 'CMST& 220', 'BIOL& 260', 'SOC& 101', 'HUM& 101']","[3, 3, 3, 1, 1, 1, 2, 2, 2, 3, 3, 3, 1, 1, 1]",['Nursing'],['Washington State University']
7,[7],"['ENGL& 102D', 'PSYC& 100', 'CHEM& 121', 'CMST& 210', 'PSYC& 200', 'BIOL& 211', 'BIOL& 231', 'BIOL& 232', 'MATH& 146', 'BIOL& 260']","[3, 3, 3, 1, 1, 1, 2, 3, 4, 1]",['General Major'],['Washington State University']
8,[8],"['MATH& 264', 'ENGR 101', 'CHEM& 262', 'PHYS& 114', 'PHYS& 241', 'MATH& 163', 'ENGR 111', 'MATH& 264', 'ENGR 121', 'PHYS& 242', 'ENGR& 214', 'PHYS& 243']","[3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 3, 3]",['Chemical Engineering'],['University of Washington Seattle']
9,[9],"['MATH& 151', 'SPAN& 122', 'CHEM& 121', 'PSYC& 100']","[3, 3, 2, 2]",['General Major'],['Washington State University']
10,[10],"['MATH& 141', 'CHEM& 140', 'ENGL& 102', 'MATH& 142', 'PHIL 215', 'PSYC& 100', 'MATH& 151', 'BIOL& 221', 'CHEM& 161', 'CHEM& 162', 'BIOL& 222', 'BIOL& 223', 'CHEM& 163', 'BIOL& 231', 'CHEM& 261', 'BIOL& 232', 'CHEM& 262', 'CHEM& 263', 'BIOL& 260', 'ECON& 201', 'CMST& 210']","[2, 2, 2, 3, 3, 3, 4, 1, 1, 2, 2, 3, 3, 4, 1, 1, 2, 3, 3, 4, 4]",['Pharmacy'],['Washington State University']
